"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Pelargonium endlicherianum,Flower_Headspace,1999,Bozan_1999,PHEROBASE,"Bozan, B., Ozek, T., Kurkcuoglu, M., Kirimer, N. E., & Baser, K. H. C. (1999). The analysis of essential oil and headspace volatiles of the flowers of Pelargonium endlicherianum used as an anthelmintic in folk medicine. Planta medica, 65(08), 781-782."
Rosa chinensis,Flower_HS,1987,Bu_1987,PHEROBASE,"Xin, B., Ai-jin, H., Yi-liang, S., Zhu-ping, W., & Mi-xin, L. (1987). Essence constituents of Rosa chinensis flower. Journal of Integrative Plant Biology, 29(3)."
Vitis vinifera,Flower_Headspace,1994,Buchbauer Jirovetz_1994,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Headspace analysis of Vitis vinifera (Vitaceae) flowers. Journal of Essential Oil Research, 6(3), 311-314."
Vitis vinifera,Flower_Essential oil,1994,Buchbauer Jirovetz_1994,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Headspace analysis of Vitis vinifera (Vitaceae) flowers. Journal of Essential Oil Research, 6(3), 311-314."
Vitis vinifera,Flower_Extract,1994,Buchbauer Jirovetz_1994,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Headspace analysis of Vitis vinifera (Vitaceae) flowers. Journal of Essential Oil Research, 6(3), 311-314."
Exacum affine,Flower_HS,1994,Buchbauer_1994,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatile constituents of Exacum affine Balf. f. flowers obtained by dynamic headspace sampling and as the essential oil. Flavour and fragrance journal, 9(2), 55-58."
Exacum affine,FLower_EO,1994,Buchbauer_1994,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatile constituents of Exacum affine Balf. f. flowers obtained by dynamic headspace sampling and as the essential oil. Flavour and fragrance journal, 9(2), 55-58."
Aesculus hippocastanum,Flower_HS,1994,Buchbauer_1994_Haorsechestnut,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatiles of common horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) blossoms. Journal of Essential Oil Research, 6(1), 93-95."
Aesculus hippocastanum,Flower_EO,1994,Buchbauer_1994_Haorsechestnut,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatiles of common horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) blossoms. Journal of Essential Oil Research, 6(1), 93-95."
Aesculus hippocastanum,Flower_Pet. ether extract,1994,Buchbauer_1994_Haorsechestnut,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatiles of common horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) blossoms. Journal of Essential Oil Research, 6(1), 93-95."
Aesculus hippocastanum,Flower_methanol extract,1994,Buchbauer_1994_Haorsechestnut,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatiles of common horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) blossoms. Journal of Essential Oil Research, 6(1), 93-95."
Tiliae flores,Living flower_HS,1995,Buchbauer_1995,PHEROBASE,"Buchbauer, G., Remberg, B., Jirovetz, L., & Nikiforov, A. (1995). Comprative headspace anaysis of living and fresh cut lime tree flowers (Tiliae flores). Flavour and fragrance journal, 10(3), 221-224."
Tiliae flores,Cut flower_HS,1995,Buchbauer_1995,PHEROBASE,"Buchbauer, G., Remberg, B., Jirovetz, L., & Nikiforov, A. (1995). Comprative headspace anaysis of living and fresh cut lime tree flowers (Tiliae flores). Flavour and fragrance journal, 10(3), 221-224."
Malus silvestris var. Domestica,Flower_HS,2002,Buchbauer_2002,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1993). Headspace and essential oil analysis of apple flowers. Journal of Agricultural and Food Chemistry, 41(1), 116-118."
Malus silvestris var. Domestica,Flower_EO,2002,Buchbauer_2002,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1993). Headspace and essential oil analysis of apple flowers. Journal of Agricultural and Food Chemistry, 41(1), 116-118."
Malus silvestris var. Domestica,FLower_Pentane Extract,2002,Buchbauer_2002,PHEROBASE,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1993). Headspace and essential oil analysis of apple flowers. Journal of Agricultural and Food Chemistry, 41(1), 116-118."
Olea europea  Frantoio 1,Leaf_Hexane extraction,2001,Campeol_2001,PHEROBASE,"Campeol, E., Flamini, G., Chericoni, S., Catalano, S., & Cremonini, R. (2001). Volatile compounds from three cultivars of Olea europaea from Italy. Journal of Agricultural and Food Chemistry, 49(11), 5409-5411."
Olea europea  Frantoio 2,Leaf_Hexane extraction,2001,Campeol_2001,PHEROBASE,"Campeol, E., Flamini, G., Chericoni, S., Catalano, S., & Cremonini, R. (2001). Volatile compounds from three cultivars of Olea europaea from Italy. Journal of Agricultural and Food Chemistry, 49(11), 5409-5411."
Olea europea  Leccino 1,Leaf_Hexane extraction,2001,Campeol_2001,PHEROBASE,"Campeol, E., Flamini, G., Chericoni, S., Catalano, S., & Cremonini, R. (2001). Volatile compounds from three cultivars of Olea europaea from Italy. Journal of Agricultural and Food Chemistry, 49(11), 5409-5411."
Olea europea  Leccino 2,Leaf_Hexane extraction,2001,Campeol_2001,PHEROBASE,"Campeol, E., Flamini, G., Chericoni, S., Catalano, S., & Cremonini, R. (2001). Volatile compounds from three cultivars of Olea europaea from Italy. Journal of Agricultural and Food Chemistry, 49(11), 5409-5411."
Olea europea  Cipressino 1,Leaf_Hexane extraction,2001,Campeol_2001,PHEROBASE,"Campeol, E., Flamini, G., Chericoni, S., Catalano, S., & Cremonini, R. (2001). Volatile compounds from three cultivars of Olea europaea from Italy. Journal of Agricultural and Food Chemistry, 49(11), 5409-5411."
Olea europea  Cipressino 2,Leaf_Hexane extraction,2001,Campeol_2001,PHEROBASE,"Campeol, E., Flamini, G., Chericoni, S., Catalano, S., & Cremonini, R. (2001). Volatile compounds from three cultivars of Olea europaea from Italy. Journal of Agricultural and Food Chemistry, 49(11), 5409-5411."
Syringa oblata Lindl. Var. alba Rehd.,Flower_Ether extraction,1987,Chen_1987,PHEROBASE,"Yao-zu, C., Zhao-lin, L., & Hai-quan, L. (1987). Analysis of fragrance volatiles of fresh flowers by pre-column absorption and GC/MS. Chromatographia, 23(7), 502-506."
Manum athamanticum (July),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Manum athamanticum (Sept.),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Pimpinella saxifraga (July),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Pimpinella saxifraga (Sept.),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Achillea millefolium (July),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Achillea millefolium (Sept.),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Thymus pulegioides (July),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Thymus pulegioides (Sept.),Aerial parts_SPME,2001,Cornu_2001,PHEROBASE,"Cornu, A., Carnat, A. P., Martin, B., Coulon, J. B., Lamaison, J. L., & Berdagué, J. L. (2001). Solid-phase microextraction of volatile components from natural grassland plants. Journal of Agricultural and Food Chemistry, 49(1), 203-209."
Osmanthus fragrans var. thunbergii,Flower_HS,1989,Ding_1989,PHEROBASE,"Ding, D., Zhu, M., Huang, Z., & Song, Z. (1989). Headspace analysis of Osmanthus fragrans Lour. Journal of Essential Oil Research, 1(6), 295-297."
Osmanthus fragrans var. latifolius,Flower_HS,1989,Ding_1989,PHEROBASE,"Ding, D., Zhu, M., Huang, Z., & Song, Z. (1989). Headspace analysis of Osmanthus fragrans Lour. Journal of Essential Oil Research, 1(6), 295-297."
Osmanthus fragrans var. aurantiacus,Flower_HS,1989,Ding_1989,PHEROBASE,"Ding, D., Zhu, M., Huang, Z., & Song, Z. (1989). Headspace analysis of Osmanthus fragrans Lour. Journal of Essential Oil Research, 1(6), 295-297."
Maryland True Pink Snapdragon,Flower_HS,2000,Dudareva_2000,PHEROBASE,"Dudareva, N., Murfitt, L. M., Mann, C. J., Gorenstein, N., Kolosova, N., Kish, C. M., ... & Wood, K. (2000). Developmental regulation of methyl benzoate biosynthesis and emission in snapdragon flowers. The Plant Cell, 12(6), 949-961."
Leontopodium alpinum,Flower_HS,1993,Erhardt_1993,PHEROBASE,"Erhardt, A. (1993). Pollination of the edelweiss, Leontopodium alpinum. Botanical Journal of the Linnean Society, 111(2), 229-240."
Dianthus glacialis,Flower_HS,1995,Erhardt_1995,PHEROBASE,"Erhardt, A., & Jäggi, B. (1995). From pollination by Lepidoptera to selfing: the case of Dianthus glacialis (Caryophyllaceae). Plant Systematics and Evolution, 195(1), 67-76."
Phytelephas aequatorialis (3 males),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Phytelephas macrocarpa (2 males),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Phytelephas macrocarpa (1 female),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Phytelephas seemannii (2 males),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Phytelephas seemannii (2 females),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Ammandra dasyneura (1 male),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Ammandra decasperma  (1 male),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Ammandra decasperma  (2 females),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Aphandra natalia ( 5 males),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Aphandra natalia ( 3 females),Flower_HS,1999,Ervik_1999,PHEROBASE,"Ervik, F., Tollsten, L., & Knudsen, J. T. (1999). Floral scent chemistry and pollination ecology in phytelephantoid palms (Arecaceae). Plant Systematics and Evolution, 217(3), 279-297."
Viola etrusca,Flower_EO,2001,Flamini_2001,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Analysis of the essential oil of the aerial parts of Viola etrusca from Monte Labbro (South Tuscany, Italy) and in vivo analysis of flower volatiles using SPME. Flavour and fragrance journal, 17(2), 147-149."
Viola etrusca (yellow flower),Flower_SPME,2001,Flamini_2001,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Analysis of the essential oil of the aerial parts of Viola etrusca from Monte Labbro (South Tuscany, Italy) and in vivo analysis of flower volatiles using SPME. Flavour and fragrance journal, 17(2), 147-149."
Viola etrusca (violet flower),Flower_SPME,2001,Flamini_2001,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Analysis of the essential oil of the aerial parts of Viola etrusca from Monte Labbro (South Tuscany, Italy) and in vivo analysis of flower volatiles using SPME. Flavour and fragrance journal, 17(2), 147-149."
Laurus nobilis,Whole female flower_SPME,2002,Flamini_2002,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Differences in the fragrances of pollen and different floral parts of male and female flowers of Laurus nobilis. Journal of agricultural and food chemistry, 50(16), 4647-4652."
Laurus nobilis,Whole male flower_SPME,2002,Flamini_2002,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Differences in the fragrances of pollen and different floral parts of male and female flowers of Laurus nobilis. Journal of agricultural and food chemistry, 50(16), 4647-4652."
Laurus nobilis,Only staminoid_SPME,2002,Flamini_2002,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Differences in the fragrances of pollen and different floral parts of male and female flowers of Laurus nobilis. Journal of agricultural and food chemistry, 50(16), 4647-4652."
Laurus nobilis,Only pollen_SPME,2002,Flamini_2002,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Differences in the fragrances of pollen and different floral parts of male and female flowers of Laurus nobilis. Journal of agricultural and food chemistry, 50(16), 4647-4652."
Laurus nobilis,Flowering tops of female plants_EO,2002,Flamini_2002,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Differences in the fragrances of pollen and different floral parts of male and female flowers of Laurus nobilis. Journal of agricultural and food chemistry, 50(16), 4647-4652."
Laurus nobilis,Flowring tops of female plants_EO,2002,Flamini_2002,PHEROBASE,"Flamini, G., Cioni, P. L., & Morelli, I. (2002). Differences in the fragrances of pollen and different floral parts of male and female flowers of Laurus nobilis. Journal of agricultural and food chemistry, 50(16), 4647-4652."
Coryanthes speciosa,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes punctata,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes speciosa var. espiritosantense,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes horichiana,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes albertinae,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes seegeri,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes parkeri,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes powellii,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes hunteriana,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes choco,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes senghasiana,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
Coryanthes alborosea,Flower_HS,1989,Gerlach_1989,PHEROBASE,"Gerlach, G., & Schill, R. (1989). Fragrance analyses, an aid to taxonomic relationships of the genus Coryanthes (Orchidaceae). Plant systematics and evolution, 168(3), 159-165."
